"51","8","1","2634","2645","24","116","92","0"
"51","9","2","2614","2629","24","132","108","0"
"51","19","3","2566","2547","16","104","40","0"
"51","17","4","2567","2564","16","124","52","0"
"51","30","5","2508","2525","20","108","60","0"
"51","95","6","2323","2332","12","92","20","0"
"51","43","7","2464","2459","16","88","36","0"
"51","99","8","2322","2327","16","104","40","0"
"51","141","9","2228","2236","8","64","16","0"
"51","220","10","2100","2103","8","56","24","0"
"51","48","11","2431","2416","8","64","20","0"
"51","246","12","2086","2099","8","60","16","0"
"51","218","13","2104","2102","8","56","16","0"
"51","274","14","2028","2057","12","28","28","0"
"51","241","15","2081","2079","8","48","16","0"
"51","269","16","2039","2040","12","44","24","0"
"51","340","17","1939","1962","12","28","20","0"
"51","20","18","2547","2536","4","44","8","0"
"51","442","19","1825","1835","8","44","16","0"
"51","227","20","2095","2045","4","60","12","0"
"51","457","21","1807","1813","8","40","12","0"
"51","257","22","2058","2030","8","44","16","0"
"51","526","23","1751","1781","12","40","24","0"
"51","593","24","1692","1730","12","56","28","0"
"51","279","25","2022","2006","8","52","20","0"
"51","716","26","1568","1593","12","48","32","0"
"51","477","27","1783","1765","12","44","28","0"
"51","513","28","1746","1730","8","52","20","0"
"51","764","29","1483","1501","8","48","20","0"
"51","692","30","1540","1525","8","56","20","0"
"51","948","31","1311","1342","12","48","28","0"
"51","968","32","1315","1325","12","44","24","0"
"51","858","33","1393","1382","8","48","16","0"
"51","1377","34","957","980","8","48","16","0"
"51","1095","35","1181","1129","8","40","12","0"
"51","1769","36","719","765","12","40","20","0"
"51","1527","37","835","836","8","36","8","0"
"51","1666","38","716","679","8","40","8","0"
"51","-1","39","300","229","8","28","4","0"
"51","-1","40","300","4","4","28","0","0"
"51","-1","41","300","-216","0","28","0","0"
"51","-1","42","600","592","4","16","8","0"
"332","3334","122","679","652","32","160","56","6"
"332","2918","137","198","198","12","56","20","1"
"332","3133","126","601","509","24","156","0","6"
"332","14","4","2591","2593","108","540","316","24"
"332","1377","79","1204","1246","60","292","168","12"
"332","284","38","1932","1942","88","422","242","19"
"332","571","26","2212","2220","96","458","176","22"
"332","1517","87","1026","1122","56","242","190","10"
"332","1728","120","633","613","32","172","68","6"
"332","1223","59","1500","1503","72","340","264","15"
"332","1278","50","1755","1741","76","404","156","17"
"332","2925","138","-850","-501","8","56","16","0"
"332","241","27","2214","2190","92","476","88","22"
"332","1147","100","1144","1044","44","260","0","11"
"332","858","49","1895","1834","80","392","148","18"
"332","3029","115","761","754","36","188","72","7"
"332","992","43","1828","1847","84","412","228","18"
"332","2433","110","817","785","40","200","68","8"
"332","3294","23","2147","2164","96","480","276","21"
"332","117","13","2231","2277","104","496","392","22"
"332","218","12","2240","2365","104","496","392","22"
"332","1324","91","1126","1103","52","260","92","11"
"332","1687","93","1075","1106","52","240","132","10"
"332","2817","95","949","997","48","232","128","9"
"332","2081","108","805","790","40","208","72","8"
"332","1095","104","1080","980","44","232","40","10"
"332","329","31","1894","2137","92","430","430","18"
"332","960","84","1189","1205","56","288","164","11"
"332","545","47","1881","1872","80","406","152","18"
"332","984","63","1491","1602","68","346","204","14"
"332","764","75","1516","1503","60","328","0","15"
"332","3332","111","621","776","40","188","144","6"
"332","235","25","2143","2172","96","464","268","21"
"332","1934","113","724","744","40","184","104","7"
"332","346","30","2007","2029","92","452","260","20"
"332","2839","124","498","558","28","136","68","4"
"332","2838","70","1375","1414","64","320","184","13"
"332","1925","112","787","895","40","188","112","7"
"332","389","56","1880","1814","72","388","0","18"
"332","1968","117","513","700","36","156","116","5"
"332","30","17","2562","2549","100","514","96","24"
"332","2148","130","286","397","20","80","40","2"
"332","3208","101","1059","964","44","244","40","10"
"332","948","39","2130","2074","84","444","0","21"
"332","903","77","1371","1347","60","312","124","13"
"332","43","11","2443","2449","104","502","196","24"
"332","968","40","1903","1907","84","424","164","19"
"332","1745","96","861","1050","48","230","178","8"
"332","601","62","1645","1545","68","362","64","16"
"332","2776","105","854","910","44","210","120","8"
"332","739","67","1500","1400","64","348","60","15"
"332","3397","83","876","809","56","314","0","14"
"332","2518","127","461","453","24","112","28","4"
"332","2792","132","311","310","16","110","20","3"
"332","420","35","2047","2024","88","444","172","20"
"332","3398","51","1733","1756","76","396","144","17"
"332","3399","133","245","362","16","68","28","1"
"332","269","28","2151","2151","92","474","178","21"
"332","141","19","2346","2337","100","496","188","23"
"332","2074","99","946","968","48","216","124","9"
"332","1362","78","1247","1281","60","298","162","12"
"332","48","14","2466","2454","100","532","108","24"
"332","49","1","2636","2659","116","540","540","24"
"332","1471","72","1343","1355","64","300","172","13"
"332","23","2","2567","2574","112","536","420","24"
"332","11","9","2568","2568","104","526","204","24"
"332","1827","121","634","616","32","168","52","6"
"332","977","82","1427","1343","56","328","0","14"
"332","40","6","2568","2560","108","516","300","24"
"332","2799","89","1001","1042","52","272","156","10"
"332","965","60","1418","1507","72","336","264","14"
"332","288","36","2010","1993","88","440","168","20"
"332","1527","114","857","788","36","192","32","8"
"332","579","64","1567","1581","68","346","132","15"
"332","1369","98","891","956","48","216","168","8"
"332","281","29","2109","2083","92","464","180","21"
"332","95","8","2424","2424","104","528","204","24"
"332","220","20","2327","2316","100","492","188","23"
